,index,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,century,objectnumber,labeltext,culture,objectid,dimensions
94,146,57,,"Harvard Art Museums/Fogg Museum, Gift of William Gray from the collection of Francis Calley Gray",1997-09-04T00:00:00-04:00,European and American Art,,55,,Prints,,,Etching,,Etching printed in black ink on white antique laid paper,Native American Indian,Not Recorded,"Francis Calley Gray, bequest to nephew, 1856.
William Gray, gift to Harvard University, 1857.
",1645,Department of Prints,1645,"[{'role': 'Artist', 'birthplace': 'Prague', 'gender': 'male', 'displaydate': '1607 - 1677', 'prefix': None, 'culture': 'Bohemian', 'displayname': 'Wenceslaus Hollar', 'alphasort': 'Hollar, Wenceslaus', 'name': 'Wenceslaus Hollar', 'personid': 30944, 'deathplace': 'London', 'displayorder': 1}]",17th century,G1930,,British,273853,"plate: 10.2 × 7.7 cm (4 × 3 1/16 in.)
sheet: 11.1 × 8.4 cm (4 3/8 × 3 5/16 in.)"
95,147,46,,"Harvard Art Museums/Fogg Museum, Gift of William Gray from the collection of Francis Calley Gray",1997-09-04T00:00:00-04:00,European and American Art,,93,,Prints,,,Engraving,,,William Penn's Treaty with the Indians,Not Recorded,"Francis Calley Gray, bequest; to William Gray, his nephew, 1856, gift; to Harvard University, 1857",18th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1739 - 1797', 'prefix': None, 'culture': 'British', 'displayname': 'John Hall', 'alphasort': 'Hall, John', 'name': 'John Hall', 'personid': 30832, 'deathplace': None, 'displayorder': 1}, {'role': 'Artist after', 'birthplace': 'Springfield, PA', 'gender': 'unknown', 'displaydate': '1738 - 1820', 'prefix': 'After', 'culture': 'American', 'displayname': 'After Benjamin West', 'alphasort': 'West, Benjamin', 'name': 'Benjamin West', 'personid': 29374, 'deathplace': 'London, England', 'displayorder': 2}]",18th century,G1763,,British,274398,
96,148,54,,"Harvard Art Museums/Fogg Museum, Gray Collection of Engravings Fund",1997-09-03T00:00:00-04:00,European and American Art,,12,,Prints,,,Etching and aquatint,,,"Mariano Ceballos, alias the Indian, kills the bull from his horse.",Not Recorded,,1816,Department of Prints,1816,"[{'role': 'Artist', 'birthplace': 'Fuendetodos', 'gender': 'male', 'displaydate': '1746 - 1828', 'prefix': None, 'culture': 'Spanish', 'displayname': 'Francisco José de Goya y Lucientes', 'alphasort': 'Goya y Lucientes, Francisco José de', 'name': 'Francisco José de Goya y Lucientes', 'personid': 23169, 'deathplace': 'Bordeaux', 'displayorder': 1}]",19th century,G8613,,Spanish,277637,25 x 35 cm (9 13/16 x 13 3/4 in.)
97,149,84,,"Harvard Art Museums/Fogg Museum, Gray Collection of Engravings Fund",1997-09-03T00:00:00-04:00,European and American Art,,157,,Prints,,,Mezzotint,,,The Widow of an Indian Chief Watching the Arms of Her Deceas'd Husband,Not Recorded,,1789,Department of Prints,1789,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1751 - 1812', 'prefix': None, 'culture': 'British', 'displayname': 'John Raphael Smith', 'alphasort': 'Smith, John Raphael', 'name': 'John Raphael Smith', 'personid': 33056, 'deathplace': None, 'displayorder': 1}, {'role': 'Artist after', 'birthplace': 'Derby, England', 'gender': 'unknown', 'displaydate': '1734 - 1797', 'prefix': 'After', 'culture': 'British', 'displayname': 'After Joseph Wright of Derby', 'alphasort': 'Wright of Derby, Joseph', 'name': 'Joseph Wright of Derby', 'personid': 29440, 'deathplace': 'Derby, England', 'displayorder': 2}]",18th century,G9050,,British,279410,
98,150,15,,"Harvard Art Museums/Fogg Museum, Transfer from the Fine Arts Library, Harvard University",1997-07-19T00:00:00-04:00,European and American Art,,28,1997.0,Photographs,,,Salted paper print,,,"Sheet 80: Thomas Crawford's plaster model of ""The Indian: The Dying Chief Contemplating the Progress of Civilization""",Transfer,"Thomas Ustick Walter L.L.D., Washington, D.C., gift to Harvard University, 1858.
",1857-1858,Department of Photographs,1858,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unidentified', 'displaydate': 'active 1850s - 1870s', 'prefix': None, 'culture': 'American', 'displayname': 'John Wood', 'alphasort': 'Wood, John', 'name': 'John Wood', 'personid': 18882, 'deathplace': None, 'displayorder': 1}]",19th century,P1997.36.96,,American,281052,image: 22.3 x 21.2 cm (8 3/4 x 8 3/8 in.)
99,151,16,,"Harvard Art Museums/Fogg Museum, Transfer from the Fine Arts Library, Harvard University",1997-07-19T00:00:00-04:00,European and American Art,,10,1997.0,Photographs,,,Salted paper print,,,"Sheet 81: Bust of Bee-she-kee, an Indian chief, aged 50 years, modelled from nature at the U.S. Capitol",Transfer,"Thomas Ustick Walter L.L.D., Washington, D.C., gift to Harvard University, 1858.
",1857-1858,Department of Photographs,1858,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unidentified', 'displaydate': 'active 1850s - 1870s', 'prefix': None, 'culture': 'American', 'displayname': 'John Wood', 'alphasort': 'Wood, John', 'name': 'John Wood', 'personid': 18882, 'deathplace': None, 'displayorder': 1}]",19th century,P1997.36.97,,American,281365,image: 20 x 27.5 cm (7 7/8 x 10 13/16 in.)
100,152,17,,"Harvard Art Museums/Fogg Museum, Transfer from the Fine Arts Library, Harvard University",1997-07-19T00:00:00-04:00,European and American Art,,3,1997.0,Photographs,,,Salted paper print,,,"Sheet 81: ""Indian Mother,"" one of the figures by T. Crawford in the pediment of the north wing",Transfer,"Thomas Ustick Walter L.L.D., Washington, D.C., gift to Harvard University, 1858.
",1857-1858,Department of Photographs,1858,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unidentified', 'displaydate': 'active 1850s - 1870s', 'prefix': None, 'culture': 'American', 'displayname': 'John Wood', 'alphasort': 'Wood, John', 'name': 'John Wood', 'personid': 18882, 'deathplace': None, 'displayorder': 1}]",19th century,P1997.36.98,,American,281366,image: 20 x 27.8 cm (7 7/8 x 10 15/16 in.)
101,153,57,,"Harvard Art Museums/Fogg Museum, Gift of The Harold and Esther Edgerton Family Foundation",1997-07-19T00:00:00-04:00,Modern and Contemporary Art,,17,1996.0,Photographs,,,Gelatin silver print,,,Indian Club Demonstration,Gift,,1939,Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Fremont, Nebraska', 'gender': 'male', 'displaydate': '1903 - 1990', 'prefix': None, 'culture': 'American', 'displayname': 'Harold Edgerton', 'alphasort': 'Edgerton, Harold Eugene', 'name': 'Harold Edgerton', 'personid': 34578, 'deathplace': 'Boston, Massachusetts', 'displayorder': 1}]",20th century,P1996.82,,American,281424,"image: 26.7 x 45.6 cm (10 1/2 x 17 15/16 in.)
sheet: 50.5 x 60.7 cm (19 7/8 x 23 7/8 in.)"
102,154,37,,"Harvard Art Museums/Fogg Museum, Gift of The Harold and Esther Edgerton Family Foundation",1997-07-19T00:00:00-04:00,Modern and Contemporary Art,,15,1996.0,Photographs,,,Gelatin silver print,,,Indian Club Demonstration,Gift,,"1939, printed later",Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Fremont, Nebraska', 'gender': 'male', 'displaydate': '1903 - 1990', 'prefix': None, 'culture': 'American', 'displayname': 'Harold Edgerton', 'alphasort': 'Edgerton, Harold Eugene', 'name': 'Harold Edgerton', 'personid': 34578, 'deathplace': 'Boston, Massachusetts', 'displayorder': 1}]",20th century,P1996.50,,American,281970,34.7 x 27.7 cm (13 11/16 x 10 7/8 in.)
103,155,37,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",1997-07-19T00:00:00-04:00,Modern and Contemporary Art,,19,,Photographs,,,Photogravure,,,Basketry of the Mission Indians,Purchase,"Seiden & de Cuevas, Inc., New York, New York, purchased from Phillip-Argus Ltd. for long term , 1978, gift, 1982. on Long Term Loan to the Fogg Art Museum from 1978 to 1982
",1924,Department of Photographs,1924,"[{'role': 'Artist', 'birthplace': 'near White Water, Wisconsin', 'gender': 'male', 'displaydate': '1868 - 1952', 'prefix': None, 'culture': 'American', 'displayname': 'Edward Sheriff Curtis', 'alphasort': 'Curtis, Edward Sheriff', 'name': 'Edward Sheriff Curtis', 'personid': 34560, 'deathplace': 'Los Angeles', 'displayorder': 1}]",20th century,P1982.124.7,,American,285599,image: 29.5 x 39.5 cm (11 5/8 x 15 9/16 in.)
104,156,94,,"Harvard Art Museums/Fogg Museum, Gift of Professor and Mrs. John Coolidge",1997-07-19T00:00:00-04:00,European and American Art,,176,1979.0,Photographs,,,Albumen silver print,,,"Burial Mound of the Seneca Indians at the Old Castle, Kanadesaga (186)",Gift,,1879,Department of Photographs,1879,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '19th century', 'prefix': None, 'culture': 'American?', 'displayname': 'James G. Vail', 'alphasort': 'Vail, James G.', 'name': 'James G. Vail', 'personid': 34496, 'deathplace': None, 'displayorder': 1}]",19th century,P1979.153,,Native American,285930,actual: 9.5 x 8 cm (3 3/4 x 3 1/8 in.)
